"name","sku","category","subcategory","childcategory","product_group","unit","brand","alert_quantity","vat_percent","minimum_sale_price","minimum_wholesale_price","barcode","purchase_price","selling_price","discount_type","discount_value","wholesale_price","minimum_wholesale_quantity","size","color","opening_stock_qty","opening_stock_purchase_price_rate","author"
"Hijab & Scarf","","Hijab & Scarf","","","","Pcs","","0","0","0","0","85232146","380","750","Amount","250","0","0","Free Size Up to 34 to 46","sixthent","0","380",""
"Hijab & Scarf","","Hijab & Scarf","","","","Pcs","","0","0","0","0","85232147","380","750","Amount","250","0","0","Free Size Up to 34 to 46","seventent","0","380",""
"Hijab & Scarf","","Hijab & Scarf","","","","Pcs","","0","0","0","0","86601703","380","750","Amount","250","0","0","Free Size Up to 34 to 46","18","24","380",""
"Hijab & Scarf","","Hijab & Scarf","","","","Pcs","","0","0","0","0","86657306","380","750","Amount","250","0","0","Free Size Up to 34 to 46","eithenth","0","380",""
"Hijab & Scarf","","Hijab & Scarf","","","","Pcs","","0","0","0","0","86657308","380","750","Amount","250","0","0","Free Size Up to 34 to 46","20","0","380",""
"Hijab & Scarf","","Hijab & Scarf","","","","Pcs","","0","0","0","0","67115967","380","750","Amount","250","0","0","Free Size Up to 34 to 46","21","2","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045029","380","650","Amount","0","0","0","Free Size Up to 34 to 46","one","24","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045033","380","650","Amount","0","0","0","Free Size Up to 34 to 46","two","11","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045035","380","650","Amount","0","0","0","Free Size Up to 34 to 46","three","5","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045038","380","650","Amount","0","0","0","Free Size Up to 34 to 46","four","0","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045040","380","650","Amount","0","0","0","Free Size Up to 34 to 46","five","20","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045043","380","650","Amount","0","0","0","Free Size Up to 34 to 46","six","2","380",""
"Hijab & Scarf- 1","","Hijab & Scarf","","","","Pcs","","0","0","0","0","87045046","380","650","Amount","0","0","0","Free Size Up to 34 to 46","seven","0","380",""
